id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1339197360957079252,The Gisele: 4BR/3BA for 8 | Pool + Streetcar Stop,83900569,1467014808860739016,Ryan,,Central City,29.93923,-90.0763,Entire home/apt,458,1,17,2026-03-02,1.34,4,313,16,25-xstr-03039
1339243756835287028,"NOLA Time, 5 bedroom, 3 1/2 Bath",674395502,1470688794995541154,Joseph,,Lower Ninth Ward,29.96384,-90.02377,Entire home/apt,241,30,6,2025-05-25,0.49,1,92,5,"23-cstr-01440, 22-ostr-18234"
1339264027425213259,Southern Elegance & NOLA Charm,674412257,1470688825284412723,Josh Aaron,,Lower Garden District,29.93355009064623,-90.07600237301637,Entire home/apt,455,1,26,2026-03-16,1.94,2,168,25,"25-NSTR-13089, 25-OSTR-11927"
1339368382980189540,Cozy New 5BR Home w Firepit Near Caesars Superdome,504507736,1470268058380106464,Sam,,Tulane - Gravier,29.95818,-90.08885,Entire home/apt,347,2,17,2026-03-16,1.34,2,327,16,"22-CSTR-23011, 21-OSTR-12387"
1339415904213836772,"Brand New 5BR, Outdoor Seating, Parking",504507736,1470268058380106464,Sam,,Tulane - Gravier,29.9580557,-90.088842,Entire home/apt,391,2,23,2026-02-25,1.75,2,316,20,"22-CSTR-23014, 21-OSTR-12387"
1339841350744641477,Spacious Bywater Gem – 5BR St. Claude NOLA Retreat,455096927,1470047535774375557,Lance,,St. Claude,29.9673151,-90.0416515,Entire home/apt,312,2,34,2026-03-02,2.46,1,159,30,"22-CSTR-08755, 24-OSTR-10186"
1339841759195986590,Dearest Deslonde,666741509,1470672998968805599,Terrell,,Lower Ninth Ward,29.96798,-90.02284,Entire home/apt,371,1,15,2026-03-09,1.13,1,74,12,"25-NSTR-00551, 24-OSTR-25146"
1339931022781688509,The Gisele: 4BR/4BA for 8 | Pool + Streetcar Stop,83900569,1467014808860739016,Ryan,,Central City,29.93923,-90.0763,Entire home/apt,474,1,22,2026-02-25,1.64,4,314,20,25-XSTR-03039
1339946528357383346,Big Easy Hideout,674596484,1470689205468076375,Darius,,Central City,29.943147,-90.090116,Entire home/apt,271,30,3,2025-04-13,0.22,1,48,1,"24-NSTR-10821, 24-OSTR-09367"
1339947497739736594,The Gisele: 4BR/3BA for 8 | Pool + Streetcar Stop,83900569,1467014808860739016,Ryan,,Central City,29.9392259,-90.07630089999999,Entire home/apt,433,1,11,2026-02-09,0.82,4,341,10,25-xstr-03039
1340762308662658898,Garden District Gem | Walk to Magazine Street!,15285994,1469694447194015214,David,,St. Thomas Dev,29.928775596563707,-90.07471097626431,Entire home/apt,382,2,71,2026-03-15,5.29,2,302,65,"23-NSTR-17437, 23-OSTR-16243"
